&#1306;	CYRILLIC CAPITAL LETTER QA	
&#1307;	CYRILLIC SMALL LETTER QA	
&#1308;	CYRILLIC CAPITAL LETTER WE	
&#1309;	CYRILLIC SMALL LETTER WE	
&#1310;	CYRILLIC CAPITAL LETTER ALEUT KA	
&#1311;	CYRILLIC SMALL LETTER ALEUT KA	
&#1312;	CYRILLIC CAPITAL LETTER EL WITH MIDDLE HOOK	
&#1313;	CYRILLIC SMALL LETTER EL WITH MIDDLE HOOK	
&#1314;	CYRILLIC CAPITAL LETTER EN WITH MIDDLE HOOK	
&#1315;	CYRILLIC SMALL LETTER EN WITH MIDDLE HOOK	
&#1316;	CYRILLIC CAPITAL LETTER PE WITH DESCENDER	
&#1317;	CYRILLIC SMALL LETTER PE WITH DESCENDER	
&#1318;	CYRILLIC CAPITAL LETTER SHHA WITH DESCENDER	
&#1319;	CYRILLIC SMALL LETTER SHHA WITH DESCENDER	
&#1320;	CYRILLIC CAPITAL LETTER EN WITH LEFT HOOK	
&#1321;	CYRILLIC SMALL LETTER EN WITH LEFT HOOK	
&#1322;	CYRILLIC CAPITAL LETTER DZZHE	
&#1323;	CYRILLIC SMALL LETTER DZZHE	
&#1324;	CYRILLIC CAPITAL LETTER DCHE	
&#1325;	CYRILLIC SMALL LETTER DCHE	
&#1326;	CYRILLIC CAPITAL LETTER EL WITH DESCENDER	
&#1327;	CYRILLIC SMALL LETTER EL WITH DESCENDER	
